EmployeeNumber,Age,Gender,MaritalStatus,Education,EducationField,Education,Department,JobRole,JobLevel,Attrition,BusinessTravel,DistanceFromHome,OverTime,WorkLifeBalance,HourlyRate,DailyRate,MonthlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,TrainingTimesLastYear
1,41,Female,Single,2,Life Sciences,2,Sales,Sales Executive,2,Yes,Travel_Rarely,1,Yes,1,94,1102,19479,5993,11,0,2,3,4,1,3,8,6,4,0,5,8,0
2,49,Male,Married,1,Life Sciences,1,Research & Development,Research Scientist,2,No,Travel_Frequently,8,No,3,61,279,24907,5130,23,1,3,2,2,4,4,10,10,7,1,7,1,3
4,37,Male,Single,2,Other,2,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,2,Yes,3,92,1373,2396,2090,15,0,4,2,3,2,3,7,0,0,0,0,6,3
5,33,Female,Married,4,Life Sciences,4,Research & Development,Research Scientist,1,No,Travel_Frequently,3,Yes,3,56,1392,23159,2909,11,0,4,3,3,3,3,8,8,7,3,0,1,3
7,27,Male,Married,1,Medical,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,No,3,40,591,16632,3468,12,1,1,3,2,4,3,6,2,2,2,2,9,3
8,32,Male,Single,2,Life Sciences,2,Research & Development,Laboratory Technician,1,No,Travel_Frequently,2,No,2,79,1005,11864,3068,13,0,4,3,4,3,3,8,7,7,3,6,0,2
10,59,Female,Married,3,Medical,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,3,Yes,2,81,1324,9964,2670,20,3,3,4,1,1,4,12,1,0,0,0,4,3
11,30,Male,Divorced,1,Life Sciences,1,Research & Development,Laboratory Technician,1,No,Travel_Rarely,24,No,3,67,1358,13335,2693,22,1,4,3,3,2,4,1,1,0,0,0,1,2
12,38,Male,Single,3,Life Sciences,3,Research & Development,Manufacturing Director,3,No,Travel_Frequently,23,No,3,44,216,8787,9526,21,0,4,2,3,2,4,10,9,7,1,8,0,2
13,36,Male,Married,3,Medical,3,Research & Development,Healthcare Representative,2,No,Travel_Rarely,27,No,2,94,1299,16577,5237,13,2,3,3,3,2,3,17,7,7,7,7,6,3
14,35,Male,Married,3,Medical,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,16,No,3,84,809,16479,2426,13,1,1,4,2,3,3,6,5,4,0,3,0,5
15,29,Female,Single,2,Life Sciences,2,Research & Development,Laboratory Technician,2,No,Travel_Rarely,15,Yes,3,49,153,12682,4193,12,0,4,2,3,4,3,10,9,5,0,8,0,3
16,31,Male,Divorced,1,Life Sciences,1,Research & Development,Research Scientist,1,No,Travel_Rarely,26,No,2,31,670,15170,2911,17,1,1,3,3,4,3,5,5,2,4,3,1,1
18,34,Male,Divorced,2,Medical,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,19,No,3,93,1346,8758,2661,11,1,2,3,4,3,3,3,2,2,1,2,0,2
19,28,Male,Single,3,Life Sciences,3,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,24,Yes,3,50,103,12947,2028,14,0,3,2,3,2,3,6,4,2,0,3,5,4
20,29,Female,Divorced,4,Life Sciences,4,Research & Development,Manufacturing Director,3,No,Travel_Rarely,21,No,3,51,1389,10195,9980,11,1,2,4,1,3,3,10,10,9,8,8,1,1
21,32,Male,Divorced,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,5,Yes,2,80,334,15053,3298,12,2,1,4,2,4,3,7,6,2,0,5,0,5
22,22,Male,Divorced,2,Medical,2,Research & Development,Laboratory Technician,1,No,Non-Travel,16,Yes,2,96,1123,7324,2935,13,2,4,4,4,2,3,1,1,0,0,0,1,2
23,53,Female,Married,4,Life Sciences,4,Sales,Manager,4,No,Travel_Rarely,2,No,3,78,1219,22021,15427,16,0,1,2,4,3,3,31,25,8,3,7,2,3
24,38,Male,Single,3,Life Sciences,3,Research & Development,Research Scientist,1,No,Travel_Rarely,2,Yes,3,45,371,4306,3944,11,0,4,3,4,3,3,6,3,2,1,2,5,3
26,24,Female,Divorced,2,Other,2,Research & Development,Manufacturing Director,2,No,Non-Travel,11,No,2,96,673,8232,4011,18,1,1,4,3,4,3,5,4,2,1,3,0,5
27,36,Male,Single,4,Life Sciences,4,Sales,Sales Representative,1,Yes,Travel_Rarely,9,No,3,82,1218,6986,3407,23,0,3,2,1,2,4,10,5,3,0,3,7,4
28,34,Female,Single,4,Life Sciences,4,Research & Development,Research Director,3,No,Travel_Rarely,7,No,3,53,419,21293,11994,11,0,1,3,2,3,3,13,12,6,2,11,0,4
30,21,Male,Single,2,Life Sciences,2,Research & Development,Research Scientist,1,No,Travel_Rarely,15,No,3,96,391,19281,1232,14,0,3,3,4,4,3,0,0,0,0,0,1,6
31,34,Male,Single,1,Medical,1,Research & Development,Research Scientist,1,Yes,Travel_Rarely,6,No,3,83,699,17102,2960,11,0,2,3,1,3,3,8,4,2,1,3,2,2
32,53,Female,Divorced,3,Other,3,Research & Development,Manager,5,No,Travel_Rarely,5,No,2,58,1282,10735,19094,11,1,3,3,3,4,3,26,14,13,4,8,4,3
33,32,Female,Single,1,Life Sciences,1,Research & Development,Research Scientist,1,Yes,Travel_Frequently,16,Yes,3,72,1125,4681,3919,22,0,2,1,1,2,4,10,10,2,6,7,1,5
35,42,Male,Married,4,Marketing,4,Sales,Sales Executive,2,No,Travel_Rarely,8,No,3,48,691,21173,6825,11,1,3,3,2,4,3,10,9,7,4,2,0,2
36,44,Female,Married,4,Medical,4,Research & Development,Healthcare Representative,3,No,Travel_Rarely,7,No,3,42,477,2094,10248,14,1,1,2,4,4,3,24,22,6,5,17,3,4
38,46,Female,Single,4,Marketing,4,Sales,Manager,5,No,Travel_Rarely,2,No,2,83,705,22822,18947,12,0,2,3,1,4,3,22,2,2,2,1,3,2
39,33,Male,Single,3,Medical,3,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,No,3,78,924,6670,2496,11,0,3,3,4,4,3,7,1,1,0,0,4,3
40,44,Male,Married,4,Other,4,Research & Development,Healthcare Representative,2,No,Travel_Rarely,10,Yes,4,41,1459,19121,6465,13,0,4,3,4,4,3,9,4,2,1,3,2,5
41,30,Male,Single,2,Medical,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,9,No,3,83,125,16117,2206,13,0,4,2,3,1,3,10,10,0,1,8,1,5
42,39,Male,Married,3,Technical Degree,3,Sales,Sales Representative,2,Yes,Travel_Rarely,5,No,4,56,895,3335,2086,14,1,4,3,4,3,3,19,1,0,0,0,3,6
45,24,Male,Married,3,Medical,3,Research & Development,Research Scientist,1,Yes,Travel_Rarely,1,Yes,2,61,813,3020,2293,16,1,2,3,4,1,3,6,2,0,2,0,2,2
46,43,Female,Divorced,2,Medical,2,Research & Development,Research Scientist,1,No,Travel_Rarely,2,No,2,72,1273,21923,2645,12,2,4,4,3,4,3,6,5,3,1,4,1,3
47,50,Male,Married,2,Marketing,2,Sales,Sales Representative,1,Yes,Travel_Rarely,3,Yes,3,86,869,3810,2683,14,0,1,2,3,3,3,3,3,2,0,2,1,2
49,35,Female,Married,3,Marketing,3,Sales,Sales Representative,1,No,Travel_Rarely,2,No,3,97,890,9687,2014,13,0,4,3,4,1,3,2,2,2,2,2,1,3
51,36,Female,Married,4,Life Sciences,4,Research & Development,Research Scientist,1,No,Travel_Rarely,5,Yes,4,82,852,13072,3419,14,1,2,2,1,4,3,6,1,1,0,0,9,3
52,33,Female,Married,3,Life Sciences,3,Sales,Sales Executive,2,No,Travel_Frequently,1,No,3,42,1141,3193,5376,19,2,3,4,1,1,3,10,5,3,1,3,2,3
53,35,Male,Divorced,2,Other,2,Research & Development,Laboratory Technician,1,No,Travel_Rarely,4,No,3,75,464,10910,1951,12,1,3,3,4,3,3,1,1,0,0,0,1,3
54,27,Female,Divorced,4,Life Sciences,4,Research & Development,Laboratory Technician,1,No,Travel_Rarely,2,No,3,33,1240,19715,2341,13,1,4,3,1,4,3,1,1,0,0,0,1,6
55,26,Male,Single,3,Life Sciences,3,Research & Development,Laboratory Technician,1,Yes,Travel_Rarely,25,No,2,48,1357,10558,2293,12,0,1,1,3,3,3,1,1,0,0,1,1,2
